0,1,397
0,2,345
0,3,256
0,4,335
0,6,383
0,10,399
0,11,348
0,13,348
0,30,135
0,70,4
0,99,116
0,170,146
0,920,16
0,1547,4
0,2715,3
0,4497,2
1,2,349
1,3,262
1,4,341
1,6,383
1,10,403
1,11,354
1,13,354
1,30,131
1,70,2
1,99,116
1,117,6
1,170,148
1,920,16
1,2715,1
1,4497,2
1,4553,2
2,3,257
2,4,336
2,6,330
2,10,349
2,11,349
2,13,349
2,30,80
2,99,68
2,117,4
2,170,144
2,920,16
2,4497,2
2,4553,2
3,4,251
3,6,246
3,10,262
3,11,262
3,13,262
3,30,26
3,99,4
3,117,6
3,170,54
3,920,12
3,4553,2
4,6,323
4,10,341
4,11,341
4,13,341
4,30,82
4,99,70
4,117,6
4,170,144
4,920,12
4,4497,2
4,4553,2
5,191,2
6,10,387
6,11,334
6,13,334
6,19,139
6,20,164
6,30,143
6,32,75
6,70,6
6,99,114
6,117,10
6,170,140
6,206,4
6,496,5
6,544,3
6,920,2
6,933,22
6,950,20
6,1547,7
6,2072,4
6,2715,5
6,2814,3
6,2857,3
6,3599,2
6,4392,4
6,4497,2
6,4553,2
6,5200,1
6,6015,1
6,6882,1
6,7401,1
6,8900,1
7,30,71
7,31,170
7,42,168
7,70,92
7,99,85
7,290,1
9,17,49
9,25,27
9,47,1
9,53,14
9,73,2
9,89,7
9,92,87
9,124,3
9,138,3
9,182,8
9,206,2
9,213,3
9,239,1
9,256,7
9,261,49
9,262,63
9,272,4
9,274,76
9,348,62
9,368,30
9,376,1
9,380,4
9,404,20
9,423,39
9,439,39
9,440,1
9,445,1
9,454,1
9,475,25
9,496,1
9,513,20
9,544,1
9,618,38
9,640,2
9,705,18
9,745,2
9,771,26
9,776,2
9,796,4
9,812,3
9,845,20
9,873,4
9,878,1
9,888,9
9,907,10
9,971,7
9,977,16
9,990,8
9,1039,20
9,1061,3
9,1093,2
9,1190,10
9,1207,2
9,1285,3
9,1296,4
9,1315,1
9,1326,10
9,1448,3
9,1479,3
9,1511,5
9,1581,3
9,1695,8
9,1722,3
9,1805,10
9,1835,2
9,1965,8
9,2045,3
9,2061,2
9,2088,2
9,2175,3
9,2217,4
9,2260,6
9,2348,1
9,2421,2
9,2446,3
9,2508,6
9,2518,3
9,2526,4
9,2590,2
9,2599,2
9,2648,2
9,2652,3
9,2775,6
9,2832,1
9,2855,4
9,2864,3
9,2885,6
9,2930,3
9,2980,5
9,3099,4
9,3132,2
9,3211,4
9,3235,1
9,3253,1
9,3342,1
9,3353,4
9,3494,4
9,3644,4
9,3724,2
9,3753,4
9,3762,1
9,3776,4
9,3779,2
9,4081,2
9,4091,2
9,4097,4
9,4121,2
9,4268,2
9,4272,2
9,4404,2
9,4521,2
9,4527,2
9,4622,2
9,4656,2
9,4659,2
9,4792,4
9,4812,1
9,5337,1
9,5362,1
9,5516,1
9,5683,1
9,5709,1
9,5764,2
9,6064,1
9,6097,1
9,6151,2
9,6669,1
9,6880,1
9,7019,1
9,7124,2
9,7486,1
9,7499,2
9,7799,1
9,7829,1
9,7834,2
9,7982,2
9,8057,1
